"apps","system.switch_cpus.numCycles","system.switch_cpus.commit.loads","system.cpu.dcache.overall_accesses::.switch_cpus.data","system.cpu.dcache.demand_misses::.switch_cpus.data","system.cpu.l2cache.overall_accesses::.switch_cpus.data","system.cpu.l2cache.demand_misses::.switch_cpus.data","system.l3.overall_accesses::.switch_cpus.data","system.l3.demand_misses::.switch_cpus.data","system.l3.DataMeta::0","system.l3.DataMeta::1","system.l3.DataMeta::2","system.l3.DataMeta::3","system.l3.MetaReq_accesses::total","system.l3.MetaReq_misses::totalsystem.mem_ctrls1.num_reads::total","system.mem_ctrls1.num_writes::total"
"s128.t.t.no","383909421","19730473","51468876","3548617","944020","137676","81334","79428","973358","5559","62907","5076","1046900","3173199"
"s16.t.t.no","367432626","19728987","51345207","3646305","939200","139257","80072","77300","267069","1702","757550","11627","1037948","3167880"
"base.t.t.no","364861694","19729017","51470119","3618136","941036","138574","79922","76862","0","0","0","0","3165834"
"base.no.t.t","391885396","19731196","51345567","6560185","4031615","1689830","948885","136948","0","0","0","0","3165408"
"base.t.t.t","307550057","19723592","51360258","3981576","1109444","241486","78320","72265","0","0","0","0","3166214"
"base.no.no.no","1142206843","19800033","51461883","6013592","4051013","4047661","4047661","3988801","0","0","0","0","3157614"
"base.no.no.t","367976249","19729003","51364153","3941012","932655","930309","930309","153562","0","0","0","0","3165357"
"s128.t.t.t","360007552","19728275","51432908","3573774","917036","94016","91945","76085","301582","690662","3496","66214","1061954","3173590"
"s16.t.t.t","310541584","19723899","51341024","4049098","1072045","215522","81199","72556","228182","40918","344827","553506","1167433","3168313"
